Date,Effective_Running_Time,General_Running_Time,Waste_Packages,Good_Packages,Nominal_Speed,Actual_Speed,Ancillary_Time,Internal_Downtime,External_Downtime,Base_Working_Time,MME,Q,P,A,OEE
1/1/2022,7.5,10.7,85,968,1158,1036,1.4,0.2,0.2,9.3,1.43,0.919278253,0.894645941,0.806451613,0.66
1/2/2022,9.8,10.1,76,904,1133,1097,1.4,0.3,0.3,11.8,1.03,0.92244898,0.968225949,0.830508475,0.74
1/3/2022,8.9,11.1,83,925,1052,963,1,0.4,0.1,10.4,1.25,0.91765873,0.91539924,0.855769231,0.72
1/4/2022,8.4,10.1,78,818,1181,1089,0.6,0.4,0.2,9.6,1.2,0.912946429,0.922099915,0.875,0.74
1/5/2022,6.6,11.4,167,951,1134,823,0.9,0.3,0.1,7.9,1.73,0.850626118,0.725749559,0.835443038,0.52
1/6/2022,6.6,10.2,103,826,1112,910,1.3,0.3,0.1,8.3,1.55,0.889128095,0.818345324,0.795180723,0.58
1/7/2022,6.2,10.2,59,965,1022,868,1.4,0.2,0.2,8,1.65,0.942382813,0.849315068,0.775,0.62
1/8/2022,9.5,11.5,195,956,1089,859,0.7,0.5,0.2,10.9,1.21,0.830582103,0.788797062,0.871559633,0.57
1/9/2022,8.4,9.6,183,942,1092,842,0.6,0.1,0.3,9.4,1.14,0.837333333,0.771062271,0.893617021,0.58
1/10/2022,8.5,8.5,189,807,1173,987,1.4,0.5,0.2,10.6,1,0.810240964,0.841432225,0.801886792,0.55
1/11/2022,6.1,8.1,199,861,1109,1034,0.9,0.4,0.3,7.7,1.33,0.812264151,0.932371506,0.792207792,0.6
1/12/2022,9.9,11,76,853,1076,973,1,0.3,0.1,11.3,1.11,0.918191604,0.904275093,0.876106195,0.73
1/13/2022,9.3,10.5,109,872,1195,844,1.5,0.1,0.1,11,1.13,0.888888889,0.706276151,0.845454545,0.53
1/14/2022,6.8,10.8,164,818,1022,1022,0.6,0.3,0.1,7.8,1.59,0.83299389,1,0.871794872,0.73
1/15/2022,6.7,8.9,154,987,1085,991,1.1,0.3,0.1,8.2,1.33,0.865030675,0.913364055,0.817073171,0.65
1/16/2022,6.7,8.5,73,911,1008,916,0.6,0.2,0.2,7.7,1.27,0.925813008,0.908730159,0.87012987,0.73
1/17/2022,7.2,8.1,172,861,1148,1002,0.9,0.4,0.2,8.7,1.12,0.833494676,0.8728223,0.827586207,0.6
1/18/2022,8.1,9.4,84,879,1184,878,1.3,0.5,0.1,10,1.16,0.912772586,0.741554054,0.81,0.55
1/19/2022,7.7,10.4,84,889,1056,904,0.9,0.3,0.3,9.2,1.35,0.913669065,0.856060606,0.836956522,0.65
1/20/2022,7.2,9.6,131,920,1172,1075,1.5,0.4,0.3,9.4,1.33,0.875356803,0.917235495,0.765957447,0.61
1/21/2022,8.4,9.7,139,903,1058,887,1.1,0.1,0.2,9.8,1.15,0.866602687,0.838374291,0.857142857,0.62
1/22/2022,6.6,11.6,137,984,1182,941,0.8,0.3,0.1,7.8,1.76,0.87778769,0.796108291,0.846153846,0.59
1/23/2022,7.2,9.4,64,899,1151,1067,0.7,0.1,0.1,8.1,1.31,0.933541018,0.927019983,0.888888889,0.77
1/24/2022,7.5,10.1,182,998,1161,1012,0.9,0.3,0.1,8.8,1.35,0.845762712,0.87166236,0.852272727,0.63
1/25/2022,7.8,11.1,90,970,1004,819,0.9,0.5,0.1,9.3,1.42,0.91509434,0.815737052,0.838709677,0.63
1/26/2022,9.1,9.6,69,842,1193,844,0.6,0.4,0.2,10.3,1.05,0.924259056,0.707460184,0.883495146,0.58
1/27/2022,6.8,10.5,183,986,1145,802,0.9,0.1,0.1,7.9,1.54,0.843455945,0.700436681,0.860759494,0.51
1/28/2022,8.1,11.4,193,823,1061,989,1,0.2,0.2,9.5,1.41,0.81003937,0.932139491,0.852631579,0.64
1/29/2022,8.4,11.8,179,963,1166,934,1.2,0.3,0.3,10.2,1.4,0.843257443,0.80102916,0.823529412,0.56
1/30/2022,6.2,8.6,171,876,1056,840,1.2,0.3,0.2,7.9,1.39,0.836676218,0.795454545,0.784810127,0.52
1/31/2022,8.4,11.7,148,976,1175,1087,1.2,0.4,0.3,10.3,1.39,0.868327402,0.925106383,0.815533981,0.66
2/1/2022,6.7,10,133,974,1023,959,0.5,0.4,0.1,7.7,1.49,0.879855465,0.937438905,0.87012987,0.72
2/2/2022,6.3,9,63,961,1141,873,0.7,0.3,0.2,7.5,1.43,0.938476563,0.765118317,0.84,0.6
2/3/2022,9.8,9.8,111,958,1108,950,1.2,0.2,0.2,11.4,1,0.89616464,0.857400722,0.859649123,0.66
2/4/2022,9.9,11.9,106,861,1019,1004,1,0.2,0.1,11.2,1.2,0.890382627,0.985279686,0.883928571,0.78
2/5/2022,9.2,10,89,816,1048,823,0.5,0.1,0.1,9.9,1.09,0.901657459,0.785305344,0.929292929,0.66
2/6/2022,7.2,9.3,159,881,1002,882,1.3,0.2,0.2,8.9,1.29,0.847115385,0.880239521,0.808988764,0.6
2/7/2022,6.4,10.5,124,835,1094,1042,1.3,0.3,0.2,8.2,1.64,0.870698644,0.952468007,0.780487805,0.65
2/8/2022,8.7,9,62,939,1060,938,1,0.4,0.2,10.3,1.03,0.938061938,0.88490566,0.844660194,0.7
2/9/2022,7.8,8.3,83,869,1120,964,0.6,0.4,0.2,9,1.06,0.912815126,0.860714286,0.866666667,0.68
2/10/2022,6.5,8.5,152,995,1059,930,1.3,0.1,0.2,8.1,1.31,0.867480384,0.878186969,0.802469136,0.61
2/11/2022,8,8.5,61,928,1060,813,1.1,0.3,0.1,9.5,1.06,0.938321537,0.766981132,0.842105263,0.61
2/12/2022,6.1,8.6,178,964,1149,850,1.3,0.2,0.2,7.8,1.41,0.8441331,0.739773716,0.782051282,0.49
2/13/2022,8.6,8.6,124,827,1010,934,1.3,0.2,0.1,10.2,1,0.869610936,0.924752475,0.843137255,0.68
2/14/2022,7,10.6,122,972,1181,863,1.3,0.4,0.1,8.8,1.51,0.888482633,0.730736664,0.795454545,0.52
2/15/2022,8.7,8.7,139,985,1170,815,1,0.1,0.3,10.1,1,0.87633452,0.696581197,0.861386139,0.53
2/16/2022,7.2,9.4,174,897,1134,1053,0.6,0.3,0.2,8.3,1.31,0.837535014,0.928571429,0.86746988,0.67
2/17/2022,8.1,11.6,102,921,1119,1094,1.2,0.2,0.2,9.7,1.43,0.900293255,0.977658624,0.835051546,0.73
2/18/2022,8.2,9.9,152,953,1178,1038,1.1,0.5,0.2,10,1.21,0.862443439,0.881154499,0.82,0.62
2/19/2022,6.7,10.7,135,835,1037,1037,1.2,0.3,0.2,8.4,1.6,0.860824742,1,0.797619048,0.69
2/20/2022,8.7,8.7,90,901,1016,873,0.7,0.2,0.1,9.7,1,0.909182644,0.859251969,0.896907216,0.7
2/21/2022,8.8,8.8,182,880,1048,1048,0.7,0.3,0.1,9.9,1,0.828625235,1,0.888888889,0.74
2/22/2022,8.2,8.2,170,829,1159,859,1.4,0.4,0.1,10.1,1,0.82982983,0.741156169,0.811881188,0.5
2/23/2022,8.7,8.7,149,874,1007,1007,1.2,0.5,0.3,10.7,1,0.854349951,1,0.813084112,0.69
2/24/2022,8.4,9.1,178,814,1117,1098,1.4,0.2,0.2,10.2,1.08,0.820564516,0.982990152,0.823529412,0.66
2/25/2022,8.7,8.7,180,805,1199,1014,1.3,0.5,0.2,10.7,1,0.817258883,0.845704754,0.813084112,0.56
2/26/2022,6.4,8.4,156,827,1171,1094,1.1,0.5,0.2,8.2,1.31,0.841302136,0.934244236,0.780487805,0.61
2/27/2022,6.8,8.5,176,993,1104,971,1.2,0.5,0.3,8.8,1.25,0.849443969,0.879528986,0.772727273,0.58
2/28/2022,6.2,9.8,155,910,1013,878,1.4,0.4,0.1,8.1,1.58,0.854460094,0.866732478,0.765432099,0.57
3/1/2022,7.3,8.8,152,993,1166,931,1.1,0.4,0.2,9,1.21,0.867248908,0.798456261,0.811111111,0.56
3/2/2022,7.6,9.5,143,886,1120,978,1.1,0.3,0.2,9.2,1.25,0.861030126,0.873214286,0.826086957,0.62
3/3/2022,7.1,10,163,862,1023,822,0.7,0.4,0.3,8.5,1.41,0.84097561,0.803519062,0.835294118,0.56
3/4/2022,9.3,10.8,74,901,1019,987,1,0.3,0.3,10.9,1.16,0.924102564,0.968596663,0.853211009,0.76
3/5/2022,7.4,8.2,182,888,1182,1094,1.2,0.4,0.1,9.1,1.11,0.829906542,0.925549915,0.813186813,0.62
3/6/2022,7.1,11.2,181,821,1134,857,0.8,0.3,0.3,8.5,1.58,0.819361277,0.755731922,0.835294118,0.52
3/7/2022,8.2,10.5,54,928,1166,1038,0.7,0.4,0.3,9.6,1.28,0.945010183,0.890222985,0.854166667,0.72
3/8/2022,6.6,8.3,174,843,1176,1072,0.8,0.4,0.1,7.9,1.26,0.828908555,0.911564626,0.835443038,0.63
3/9/2022,9.2,11.5,69,924,1114,1083,0.7,0.2,0.2,10.3,1.25,0.930513595,0.972172352,0.893203883,0.81
3/10/2022,6.3,11.7,100,930,1103,1088,0.7,0.4,0.2,7.6,1.86,0.902912621,0.986400725,0.828947368,0.74
3/11/2022,8.2,8.2,162,830,1086,956,0.9,0.3,0.3,9.7,1,0.836693548,0.880294659,0.845360825,0.62
3/12/2022,9.1,9.1,74,812,1063,1063,1.4,0.4,0.1,11,1,0.916478555,1,0.827272727,0.76
3/13/2022,6.8,11.2,173,956,1087,1027,1,0.3,0.3,8.4,1.65,0.84676705,0.944802208,0.80952381,0.65
3/14/2022,6,11,175,892,1155,849,0.7,0.3,0.2,7.2,1.83,0.835988754,0.735064935,0.833333333,0.51
3/15/2022,8.7,8.7,126,812,1120,943,0.6,0.5,0.2,10,1,0.865671642,0.841964286,0.87,0.63
3/16/2022,8.8,8.8,51,999,1179,1015,1.2,0.2,0.2,10.4,1,0.951428571,0.860899067,0.846153846,0.69
3/17/2022,8.9,9.5,93,812,1089,874,0.9,0.4,0.2,10.4,1.07,0.897237569,0.802571166,0.855769231,0.62
3/18/2022,9.1,9.9,143,939,1121,992,1.3,0.3,0.3,11,1.09,0.867837338,0.884924175,0.827272727,0.64
3/19/2022,6.3,10.5,197,997,1126,1000,1.2,0.3,0.3,8.1,1.67,0.835008375,0.888099467,0.777777778,0.58
3/20/2022,7.4,9.5,145,848,1118,849,1.3,0.2,0.3,9.2,1.28,0.853977845,0.759391771,0.804347826,0.52
3/21/2022,6.5,9.9,89,828,1141,970,0.8,0.3,0.1,7.7,1.52,0.902944384,0.850131464,0.844155844,0.65
3/22/2022,9.5,11,145,824,1047,1031,1.2,0.2,0.2,11.1,1.16,0.850361197,0.984718243,0.855855856,0.72
3/23/2022,8.1,8.1,131,861,1102,950,0.8,0.1,0.1,9.1,1,0.867943548,0.862068966,0.89010989,0.67
3/24/2022,7.3,9,167,820,1021,804,1.4,0.2,0.2,9.1,1.23,0.830800405,0.787463271,0.802197802,0.52
3/25/2022,6.3,10.9,66,938,1077,803,1.1,0.1,0.2,7.7,1.73,0.934262948,0.745589601,0.818181818,0.57
3/26/2022,7.2,11.6,164,812,1098,907,0.8,0.5,0.2,8.7,1.61,0.831967213,0.826047359,0.827586207,0.57
3/27/2022,7.3,10,131,902,1130,1078,0.8,0.5,0.2,8.8,1.37,0.873184898,0.953982301,0.829545455,0.69
3/28/2022,8.9,10.1,194,999,1190,869,0.7,0.3,0.3,10.2,1.13,0.837384744,0.730252101,0.87254902,0.53
3/29/2022,8.4,8.4,101,963,1120,990,1.2,0.4,0.1,10.1,1,0.905075188,0.883928571,0.831683168,0.67
3/30/2022,9.5,9.8,145,923,1149,867,0.7,0.2,0.2,10.6,1.03,0.86423221,0.754569191,0.896226415,0.58
3/31/2022,7.9,10.1,190,861,1101,897,1.1,0.4,0.2,9.6,1.28,0.819219791,0.814713896,0.822916667,0.55
4/1/2022,6.5,9,65,925,1127,1054,0.8,0.4,0.1,7.8,1.38,0.934343434,0.935226264,0.833333333,0.73
