Date,Effective_Running_Time,General_Running_Time,Waste_Packages,Good_Packages,Nominal_Speed,Actual_Speed,Ancillary_Time,Internal_owntime,External_Downtime
2022-01-01,7.49816047538945,10.686292782371199,85.0,968.0,1158.0,1036.0,1.3549740195614743,0.1884954785784256,0.1765568200806081
2022-01-02,9.802857225639665,10.081230803615174,76.0,904.0,1133.0,1097.0,1.3825598767723473,0.25239650946736,0.2678293216141505
2022-01-03,8.92797576724562,11.089273566942557,83.0,925.0,1052.0,963.0,0.9663097561401701,0.4233622955574764,0.12906533848410082
2022-01-04,8.394633936788146,10.080654004447974,78.0,818.0,1181.0,1089.0,0.5756997273097875,0.4294494442995894,0.2011393487562748
2022-01-05,6.624074561769746,11.408726001274161,167.0,951.0,1134.0,823.0,0.8878260899169312,0.2538444303915073,0.11240828339131087
2022-01-06,6.623978081344811,10.207627355097943,103.0,826.0,1112.0,910.0,1.3035376594626034,0.28364960931467237,0.11423113577558196
2022-01-07,6.232334448672798,10.243751886141546,59.0,965.0,1022.0,868.0,1.4017740285462286,0.2213143563397132,0.21477316993541926
2022-01-08,9.46470458309974,11.50661441063338,195.0,956.0,1089.0,859.0,0.7034727424975958,0.47302195136772485,0.2132036849775642
2022-01-09,8.404460046972835,9.613931464849589,183.0,942.0,1092.0,842.0,0.5669736120252715,0.14745750629663212,0.2756067025688914
2022-01-10,8.536060913802563,8.536060913802563,189.0,807.0,1173.0,987.0,1.3773504531328387,0.473499769200588,0.21157473513201464
2022-01-11,6.08233797718321,8.115130705253357,199.0,861.0,1109.0,1034.0,0.8894049389788753,0.37354658073413727,0.29195820408097006
2022-01-12,9.879639408647977,11.020549022694476,76.0,853.0,1076.0,973.0,1.0417609642675631,0.31262886107469245,0.10973896967998596
2022-01-13,9.329770563201688,10.48123820541386,109.0,872.0,1195.0,844.0,1.4680658120507588,0.11306362431379835,0.11960153695614822
2022-01-14,6.849356442713105,10.816319072396894,164.0,818.0,1022.0,1022.0,0.5665647279142229,0.2902384767288033,0.10881317231407628
2022-01-15,6.7272998688284025,8.851856646035642,154.0,987.0,1085.0,991.0,1.1483180074520956,0.2630992420010929,0.137055370066708
2022-01-16,6.733618039413735,8.545485902347078,73.0,911.0,1008.0,916.0,0.5741054225748671,0.16448752479004902,0.2082540221883356
2022-01-17,7.216968971838151,8.058178662671528,172.0,861.0,1148.0,1002.0,0.8754689284665004,0.36256384140026277,0.22911443628548558
2022-01-18,8.099025726528952,9.402350235226388,84.0,879.0,1184.0,878.0,1.3038145451934469,0.4884603629473143,0.10911703158973377
2022-01-19,7.727780074568463,10.359670747418532,84.0,889.0,1056.0,904.0,0.9334722327556344,0.32487552442581,0.28919417796911984
